2903.csv has VALID utf-8
2904.csv has INVALID utf-8
2905.csv has VALID utf-8
2906.csv has VALID utf-8
2907.csv has VALID utf-8
2908.csv has VALID utf-8
2909.csv has INVALID utf-8
2910.csv has VALID utf-8
2912.csv has VALID utf-8
2911.csv has INVALID utf-8
2913.csv has VALID utf-8
2914.csv has INVALID utf-8
2915.csv has VALID utf-8
2916.csv has INVALID utf-8
2917.csv has INVALID utf-8
2918.csv has VALID utf-8
2919.csv has VALID utf-8
2920.csv has VALID utf-8
2921.csv has VALID utf-8
2922.csv has VALID utf-8
2923.csv has INVALID utf-8
2924.csv has INVALID utf-8
2925.csv has VALID utf-8
2926.csv has VALID utf-8
2927.csv has INVALID utf-8
2929.csv has VALID utf-8
2928.csv has INVALID utf-8
2930.csv has VALID utf-8
2931.csv has VALID utf-8
2933.csv has INVALID utf-8
2932.csv has INVALID utf-8
2934.csv has VALID utf-8
2935.csv has INVALID utf-8
2936.csv has INVALID utf-8
2937.csv has VALID utf-8
2938.csv has VALID utf-8
2940.csv has VALID utf-8
2941.csv has VALID utf-8
2939.csv has INVALID utf-8
2942.csv has VALID utf-8
2943.csv has VALID utf-8
2944.csv has VALID utf-8
2945.csv has VALID utf-8
2946.csv has VALID utf-8
2947.csv has VALID utf-8
2948.csv has VALID utf-8
2949.csv has VALID utf-8
2950.csv has VALID utf-8
2951.csv has VALID utf-8
2952.csv has VALID utf-8
2953.csv has INVALID utf-8
2954.csv has INVALID utf-8
2955.csv has VALID utf-8
2957.csv has VALID utf-8
2956.csv has INVALID utf-8
2958.csv has VALID utf-8
2959.csv has VALID utf-8
2960.csv has VALID utf-8
2961.csv has INVALID utf-8
2962.csv has VALID utf-8
2963.csv has VALID utf-8
2964.csv has INVALID utf-8
2965.csv has VALID utf-8
2966.csv has VALID utf-8
2967.csv has VALID utf-8
2968.csv has VALID utf-8
2969.csv has VALID utf-8
2971.csv has VALID utf-8
2970.csv has INVALID utf-8
2972.csv has VALID utf-8
2974.csv has VALID utf-8
2975.csv has VALID utf-8
2976.csv has VALID utf-8
2977.csv has INVALID utf-8
2978.csv has VALID utf-8
2973.csv has INVALID utf-8
2981.csv has VALID utf-8
2979.csv has INVALID utf-8
2980.csv has INVALID utf-8
2982.csv has VALID utf-8
2983.csv has VALID utf-8
2984.csv has INVALID utf-8
2985.csv has VALID utf-8
2986.csv has VALID utf-8
2987.csv has INVALID utf-8
2988.csv has VALID utf-8
2989.csv has VALID utf-8
2990.csv has VALID utf-8
2991.csv has INVALID utf-8
2992.csv has VALID utf-8
2993.csv has INVALID utf-8
2994.csv has VALID utf-8
2995.csv has INVALID utf-8
2996.csv has VALID utf-8
2997.csv has VALID utf-8
2998.csv has VALID utf-8
3001.csv has VALID utf-8
2999.csv has INVALID utf-8
3000.csv has INVALID utf-8
3002.csv has VALID utf-8
3003.csv has VALID utf-8
3004.csv has VALID utf-8
3005.csv has INVALID utf-8
3006.csv has VALID utf-8
3007.csv has INVALID utf-8
3008.csv has VALID utf-8
3009.csv has VALID utf-8
3010.csv has VALID utf-8
3011.csv has INVALID utf-8
3012.csv has VALID utf-8
3013.csv has INVALID utf-8
3014.csv has VALID utf-8
3015.csv has VALID utf-8
3017.csv has VALID utf-8
3016.csv has INVALID utf-8
3018.csv has INVALID utf-8
3019.csv has VALID utf-8
3020.csv has INVALID utf-8
3022.csv has VALID utf-8
3021.csv has INVALID utf-8
3023.csv has VALID utf-8
3024.csv has VALID utf-8
3025.csv has VALID utf-8
3026.csv has VALID utf-8
3027.csv has VALID utf-8
3028.csv has VALID utf-8
3029.csv has VALID utf-8
3030.csv has VALID utf-8
3031.csv has INVALID utf-8
3032.csv has VALID utf-8
3033.csv has VALID utf-8
3034.csv has VALID utf-8
3035.csv has VALID utf-8
3036.csv has VALID utf-8
3037.csv has VALID utf-8
3038.csv has VALID utf-8
3039.csv has VALID utf-8
3040.csv has VALID utf-8
3041.csv has VALID utf-8
3042.csv has VALID utf-8
3043.csv has VALID utf-8
3044.csv has VALID utf-8
3045.csv has VALID utf-8
3047.csv has VALID utf-8
3046.csv has INVALID utf-8
3048.csv has VALID utf-8
3049.csv has VALID utf-8
3050.csv has VALID utf-8
3051.csv has VALID utf-8
3052.csv has VALID utf-8
3053.csv has VALID utf-8
3054.csv has VALID utf-8
3055.csv has VALID utf-8
3056.csv has VALID utf-8
3057.csv has VALID utf-8
3058.csv has VALID utf-8
3060.csv has VALID utf-8
3059.csv has VALID utf-8
3061.csv has VALID utf-8
3062.csv has VALID utf-8
3063.csv has VALID utf-8
3064.csv has VALID utf-8
3065.csv has VALID utf-8
3066.csv has VALID utf-8
3067.csv has VALID utf-8
3068.csv has VALID utf-8
3069.csv has VALID utf-8
3071.csv has VALID utf-8
3072.csv has VALID utf-8
3070.csv has INVALID utf-8
3073.csv has VALID utf-8
3074.csv has VALID utf-8
3075.csv has VALID utf-8
3077.csv has VALID utf-8
3076.csv has INVALID utf-8
3078.csv has VALID utf-8
3079.csv has VALID utf-8
3080.csv has VALID utf-8
3081.csv has VALID utf-8
3083.csv has VALID utf-8
3082.csv has VALID utf-8
3084.csv has VALID utf-8
3085.csv has VALID utf-8
3086.csv has VALID utf-8
3087.csv has VALID utf-8
3088.csv has VALID utf-8
3089.csv has VALID utf-8
3090.csv has VALID utf-8
3091.csv has VALID utf-8
3092.csv has VALID utf-8
3093.csv has VALID utf-8
3094.csv has VALID utf-8
3095.csv has VALID utf-8
3096.csv has VALID utf-8
3097.csv has VALID utf-8
3098.csv has VALID utf-8
3099.csv has VALID utf-8
3100.csv has VALID utf-8
3101.csv has VALID utf-8
3102.csv has VALID utf-8
3103.csv has VALID utf-8
3104.csv has VALID utf-8
3105.csv has VALID utf-8
3106.csv has VALID utf-8
3107.csv has VALID utf-8
3108.csv has VALID utf-8
3109.csv has VALID utf-8
3110.csv has VALID utf-8
3111.csv has VALID utf-8
3113.csv has VALID utf-8
3112.csv has VALID utf-8
3114.csv has VALID utf-8
3115.csv has VALID utf-8
3116.csv has VALID utf-8
3117.csv has VALID utf-8
3118.csv has VALID utf-8
3119.csv has VALID utf-8
3120.csv has VALID utf-8
3121.csv has VALID utf-8
3122.csv has VALID utf-8
3123.csv has INVALID utf-8
3125.csv has VALID utf-8
3124.csv has INVALID utf-8
3126.csv has VALID utf-8
3127.csv has VALID utf-8
3128.csv has VALID utf-8
3129.csv has INVALID utf-8
3130.csv has VALID utf-8
3131.csv has VALID utf-8
3132.csv has VALID utf-8
3133.csv has INVALID utf-8
3135.csv has VALID utf-8
3134.csv has INVALID utf-8
3136.csv has VALID utf-8
3137.csv has VALID utf-8
